time,addr,core,level,latency,prefetched,pid,command,mshr
625125485,126815967834524,0,L1,6,false,0,GetSResp,false
625125500,126815967834528,0,L1,6,false,0,GetSResp,false
625125503,126815967834532,0,L1,6,false,0,GetSResp,false
625125506,126815967834536,0,L1,6,false,0,GetSResp,false
625125510,126815967834540,0,L1,6,false,0,GetSResp,false
625125526,126815967834544,0,L1,6,false,0,GetSResp,false
625125529,126815967834548,0,L1,6,false,0,GetSResp,false
625125532,126815967834552,0,L1,6,false,0,GetSResp,false
625125536,126815967834556,0,L1,6,false,0,GetSResp,false
625125551,126815967834560,0,L1,6,false,0,GetSResp,false
625125554,126815967834564,0,L1,6,false,0,GetSResp,false
625125557,126815967834568,0,L1,6,false,0,GetSResp,false
625125561,126815967834572,0,L1,6,false,0,GetSResp,false
625125577,126815967834576,0,L1,6,false,0,GetSResp,false
625125580,126815967834580,0,L1,6,false,0,GetSResp,false
625125583,126815967834584,0,L1,6,false,0,GetSResp,false
625125586,126815967834588,0,L1,6,false,0,GetSResp,false
625125602,126815967834592,0,L1,6,false,0,GetSResp,false
625125605,126815967834596,0,L1,6,false,0,GetSResp,false
625125608,126815967834600,0,L1,6,false,0,GetSResp,false
625125612,126815967834604,0,L1,6,false,0,GetSResp,false
625125627,126815967834608,0,L1,6,false,0,GetSResp,false
625125630,126815967834612,0,L1,6,false,0,GetSResp,false
625125633,126815967834616,0,L1,6,false,0,GetSResp,false
625125637,126815967834620,0,L1,6,false,0,GetSResp,false
625125652,126815967834624,0,L1,6,false,0,GetSResp,false
625125655,126815967834628,0,L1,6,false,0,GetSResp,false
625125658,126815967834632,0,L1,6,false,0,GetSResp,false
625125662,126815967834636,0,L1,6,false,0,GetSResp,false
625125677,126815967834640,0,L1,6,false,0,GetSResp,false
625125680,126815967834644,0,L1,6,false,0,GetSResp,false
625125683,126815967834648,0,L1,6,false,0,GetSResp,false
625125687,126815967834652,0,L1,6,false,0,GetSResp,false
625125703,126815967834656,0,L1,6,false,0,GetSResp,false
625125706,126815967834660,0,L1,6,false,0,GetSResp,false
625125709,126815967834664,0,L1,6,false,0,GetSResp,false
625125713,126815967834668,0,L1,6,false,0,GetSResp,false
625125728,126815967834672,0,L1,6,false,0,GetSResp,false
625125731,126815967834676,0,L1,6,false,0,GetSResp,false
625125734,126815967834680,0,L1,6,false,0,GetSResp,false
625125738,126815967834684,0,L1,6,false,0,GetSResp,false
625125753,126815967834688,0,L1,6,false,0,GetSResp,false
625125756,126815967834692,0,L1,6,false,0,GetSResp,false
625125759,126815967834696,0,L1,6,false,0,GetSResp,false
625125763,126815967834700,0,L1,6,false,0,GetSResp,false
625125779,126815967834704,0,L1,6,false,0,GetSResp,false
625125781,126815967834708,0,L1,6,false,0,GetSResp,false
625125785,126815967834712,0,L1,6,false,0,GetSResp,false
625125789,126815967834716,0,L1,6,false,0,GetSResp,false
625125804,126815967834720,0,L1,6,false,0,GetSResp,false
625125807,126815967834724,0,L1,6,false,0,GetSResp,false
625125810,126815967834728,0,L1,6,false,0,GetSResp,false
625125813,126815967834732,0,L1,6,false,0,GetSResp,false
625125829,126815967834736,0,L1,6,false,0,GetSResp,false
625125832,126815967834740,0,L1,6,false,0,GetSResp,false
625125835,126815967834744,0,L1,6,false,0,GetSResp,false
625125839,126815967834748,0,L1,6,false,0,GetSResp,false
625125854,126815967834752,0,L1,6,false,0,GetSResp,false
625125857,126815967834756,0,L1,6,false,0,GetSResp,false
625125861,126815967834760,0,L1,6,false,0,GetSResp,false
625125864,126815967834764,0,L1,6,false,0,GetSResp,false
625125880,126815967834768,0,L1,6,false,0,GetSResp,false
625125883,126815967834772,0,L1,6,false,0,GetSResp,false
625125886,126815967834776,0,L1,6,false,0,GetSResp,false
625125890,126815967834780,0,L1,6,false,0,GetSResp,false
625125905,126815967834784,0,L1,6,false,0,GetSResp,false
625125908,126815967834788,0,L1,6,false,0,GetSResp,false
625125911,126815967834792,0,L1,6,false,0,GetSResp,false
625125915,126815967834796,0,L1,6,false,0,GetSResp,false
625125930,126815967834800,0,L1,6,false,0,GetSResp,false
625125933,126815967834804,0,L1,6,false,0,GetSResp,false
625125936,126815967834808,0,L1,6,false,0,GetSResp,false
625125940,126815967834812,0,L1,6,false,0,GetSResp,false
625125956,126815967834816,0,L1,6,false,0,GetSResp,false
625125959,126815967834820,0,L1,6,false,0,GetSResp,false
625125962,126815967834824,0,L1,6,false,0,GetSResp,false
625125966,126815967834828,0,L1,6,false,0,GetSResp,false
625125983,126815967834832,0,L1,6,false,0,GetSResp,false
625125986,126815967834836,0,L1,6,false,0,GetSResp,false
625125988,126815967834840,0,L1,6,false,0,GetSResp,false
625125993,126815967834844,0,L1,6,false,0,GetSResp,false
625126008,126815967834848,0,L1,6,false,0,GetSResp,false
625126011,126815967834852,0,L1,6,false,0,GetSResp,false
625126014,126815967834856,0,L1,6,false,0,GetSResp,false
625151312,126815967834132,0,L1,6,false,0,GetSResp,false
625160810,126815967834136,0,L1,6,false,0,GetSResp,false
1470549430,110660482436720,0,L1,6,false,0,GetSResp,false
1470549434,110660482436728,0,L1,6,false,0,GetSResp,false
1470571754,110660482649296,0,L2,24,false,0,GetSResp,false
1470571757,110660482649304,0,L1,22,false,0,GetSResp,false
1470687001,140730223408544,0,L1,6,false,0,GetSResp,false
1470687008,140730223408548,0,L1,6,false,0,GetSResp,false
1470687012,140730223408380,0,L1,6,false,0,GetSResp,false
1470687017,140730223408548,0,L1,6,false,0,GetSResp,false
1470687352,140730223408544,0,L1,6,false,0,GetSResp,false
1470687353,140730223408544,0,L1,8,false,0,GetSResp,false
1470687430,140730223408380,0,L1,6,false,0,GetSResp,false
1470687436,140730223408380,0,L1,6,false,0,GetSResp,false
1470687442,140730223408380,0,L1,6,false,0,GetSResp,false
1470687448,140730223408380,0,L1,6,false,0,GetSResp,false
1470687454,140730223408380,0,L1,6,false,0,GetSResp,false
1470687461,140730223408380,0,L1,6,false,0,GetSResp,false
1470687467,140730223408380,0,L1,6,false,0,GetSResp,false
1470687473,140730223408380,0,L1,6,false,0,GetSResp,false
1470687479,140730223408380,0,L1,6,false,0,GetSResp,false
1470687486,140730223408380,0,L1,6,false,0,GetSResp,false
1470687491,140730223408380,0,L1,6,false,0,GetSResp,false
1470687498,140730223408380,0,L1,6,false,0,GetSResp,false
1470687504,140730223408380,0,L1,6,false,0,GetSResp,false
1470687510,140730223408380,0,L1,6,false,0,GetSResp,false
1470687516,140730223408380,0,L1,6,false,0,GetSResp,false
1470687522,140730223408380,0,L1,6,false,0,GetSResp,false
1470687528,140730223408380,0,L1,6,false,0,GetSResp,false
1470687534,140730223408380,0,L1,6,false,0,GetSResp,false
1470687541,140730223408380,0,L1,6,false,0,GetSResp,false
1470687547,140730223408380,0,L1,6,false,0,GetSResp,false
1470687553,140730223408380,0,L1,6,false,0,GetSResp,false
1470687559,140730223408380,0,L1,6,false,0,GetSResp,false
1470687566,140730223408380,0,L1,6,false,0,GetSResp,false
1470687572,140730223408380,0,L1,6,false,0,GetSResp,false
1470687578,140730223408380,0,L1,6,false,0,GetSResp,false
1470687584,140730223408380,0,L1,6,false,0,GetSResp,false
1470687590,140730223408380,0,L1,6,false,0,GetSResp,false
1470687597,140730223408380,0,L1,6,false,0,GetSResp,false
1470687604,140730223408380,0,L1,6,false,0,GetSResp,false
1470687610,140730223408380,0,L1,6,false,0,GetSResp,false
1470687616,140730223408380,0,L1,6,false,0,GetSResp,false
1470687622,140730223408380,0,L1,6,false,0,GetSResp,false
1470687628,140730223408380,0,L1,6,false,0,GetSResp,false
1470687635,140730223408380,0,L1,6,false,0,GetSResp,false
1470687641,140730223408380,0,L1,6,false,0,GetSResp,false
1470687647,140730223408380,0,L1,6,false,0,GetSResp,false
1470687653,140730223408380,0,L1,6,false,0,GetSResp,false
1470687660,140730223408380,0,L1,6,false,0,GetSResp,false
1470687673,140730223408380,0,L1,6,false,0,GetSResp,false
1470687718,140730223408380,0,L1,6,false,0,GetSResp,false
1470687725,140730223408380,0,L1,6,false,0,GetSResp,false
1470687731,140730223408380,0,L1,6,false,0,GetSResp,false
1470687738,140730223408380,0,L1,6,false,0,GetSResp,false
1470687744,140730223408380,0,L1,6,false,0,GetSResp,false
1470687750,140730223408380,0,L1,6,false,0,GetSResp,false
1470687756,140730223408380,0,L1,6,false,0,GetSResp,false
1470687762,140730223408380,0,L1,6,false,0,GetSResp,false
1470687768,140730223408380,0,L1,6,false,0,GetSResp,false
1470687775,140730223408380,0,L1,6,false,0,GetSResp,false
1470687781,140730223408380,0,L1,6,false,0,GetSResp,false
1470687787,140730223408380,0,L1,6,false,0,GetSResp,false
1470687794,140730223408380,0,L1,6,false,0,GetSResp,false
1470687800,140730223408380,0,L1,6,false,0,GetSResp,false
1470687806,140730223408380,0,L1,6,false,0,GetSResp,false
1470687812,140730223408380,0,L1,6,false,0,GetSResp,false
1470687818,140730223408380,0,L1,6,false,0,GetSResp,false
1470687824,140730223408380,0,L1,6,false,0,GetSResp,false
1470687831,140730223408380,0,L1,6,false,0,GetSResp,false
